brand,model,style,accel,top_speed,range,charge_rate,price
Mercedes,EQC 400 4MATIC,suv,5.1,180.0,370.0,440.0,69484
Mercedes,EQC 400 4MATIC,suv,5.1,180.0,370.0,440.0,69484
Audi,e-tron Sportback 50 quattro,suv,6.8,190.0,295.0,470.0,69551
Mercedes,EQV 300 Long,spv,10.0,140.0,330.0,290.0,70631
Tesla,Cybertruck Tri Motor,pickup,3.0,210.0,750.0,710.0,75000
Jaguar,I-Pace,SUV,4.8,200.0,365.0,340.0,75351
Audi,e-tron 55 quattro,SUV,5.7,200.0,365.0,590.0,79445
Tesla,Model S Long Range,Liftback,3.8,250.0,515.0,560.0,79990
Audi,e-tron Sportback 55 quattro,suv,5.7,200.0,380.0,610.0,81639
Tesla,Model X Long Range,SUV,4.6,250.0,450.0,490.0,85990
Audi,e-tron S 55 quattro,SUV,4.5,210.0,320.0,510.0,93800
Audi,e-tron S Sportback 55 quattro,suv,4.5,210.0,335.0,540.0,96050
Tesla,Model S Performance,Liftback,2.5,261.0,505.0,550.0,96990
Porsche,Taycan 4S,Sedan,4.0,250.0,365.0,730.0,102945
Tesla,Model X Performance,suv,2.8,250.0,440.0,480.0,102990
Lucid,Air,sedan,2.8,250.0,610.0,620.0,105000
Porsche,Taycan 4S Plus,Sedan,4.0,250.0,425.0,890.0,109302
Audi,e-tron GT,sedan,3.5,240.0,425.0,850.0,125000
Porsche,Taycan Turbo,Sedan,3.2,260.0,390.0,810.0,148301
Lightyear,One,Liftback,10.0,150.0,575.0,540.0,149000
Porsche,Taycan Cross Turismo,station,3.5,250.0,385.0,770.0,150000
Porsche,Taycan Turbo S,sedan,2.8,260.0,375.0,780.0,180781
Tesla,Roadster,Cabrio,2.1,410.0,970.0,920.0,215000
